row,id,field,old,new,note
34,33,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
34,33,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
35,34,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
35,34,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
35,34,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
36,35,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
37,36,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
38,37,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
39,38,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
39,38,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
40,39,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
41,40,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
42,41,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
42,41,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
43,42,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
44,43,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
44,43,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
45,44,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
45,44,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
46,45,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
47,46,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
47,46,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
48,47,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
48,47,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
48,47,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
49,48,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
49,48,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
50,49,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
50,49,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
51,50,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
52,51,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
52,51,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
53,52,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
54,53,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
54,53,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
54,53,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
55,54,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
55,54,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
55,54,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
56,55,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
56,55,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
57,56,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
58,57,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
58,57,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
59,58,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
60,59,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
60,59,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
61,60,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
61,60,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
62,61,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
62,61,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
63,62,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
63,62,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
64,63,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
65,64,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
66,65,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
67,66,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
68,67,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
68,67,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
69,68,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
70,69,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
70,69,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
71,70,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
72,71,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
73,72,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
74,73,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
75,74,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
76,75,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
77,76,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
77,76,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
78,77,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
79,78,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
79,78,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
80,79,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
81,80,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
82,81,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
82,81,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
83,82,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
84,83,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
85,84,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
86,85,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
87,86,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
